Tiempo;Pandora mm (637km2);Banano mm (90km2);Tiempo,Pandora mm (637km2),Banano mm (90km2)
01/06/1976;2.58;20.64;1/6/1976,2.58,20.64
01/07/1976;2.39;6.30;1/7/1976,2.39,6.30
01/08/1976;2.14;5.74;1/8/1976,2.14,5.74
01/09/1976;2.43;6.34;1/9/1976,2.43,6.34
01/10/1976;3.20;24.77;1/10/1976,3.20,24.77
01/11/1976;4.11;28.13;1/11/1976,4.11,28.13
01/12/1976;2.89;22.85;1/12/1976,2.89,22.85
1/13/1976;2.46;6.58;1/13/1976,2.46,6.58
1/14/1976;2.35;6.29;1/14/1976,2.35,6.29
1/15/1976;2.67;21.50;1/15/1976,2.67,21.50
1/16/1976;3.91;27.17;1/16/1976,3.91,27.17
1/17/1976;5.15;32.26;1/17/1976,5.15,32.26
1/18/1976;31.60;85.15;1/18/1976,31.60,85.15
1/19/1976;33.77;87.74;1/19/1976,33.77,87.74
1/20/1976;12.33;52.70;1/20/1976,12.33,52.70
1/21/1976;7.58;40.13;1/21/1976,7.58,40.13
1/22/1976;5.67;29.09;1/22/1976,5.67,29.09
1/23/1976;4.90;11.14;1/23/1976,4.90,11.14
1/24/1976;4.45;10.46;1/24/1976,4.45,10.46
1/25/1976;3.88;9.79;1/25/1976,3.88,9.79
1/26/1976;3.62;8.91;1/26/1976,3.62,8.91
1/27/1976;4.16;10.27;1/27/1976,4.16,10.27
1/28/1976;5.97;9.98;1/28/1976,5.97,9.98
1/29/1976;4.60;8.77;1/29/1976,4.60,8.77
1/30/1976;3.58;7.99;1/30/1976,3.58,7.99
1/31/1976;3.26;8.63;1/31/1976,3.26,8.63
02/01/1976;3.21;7.86;2/1/1976,3.21,7.86
02/02/1976;2.88;7.13;2/2/1976,2.88,7.13
02/03/1976;2.66;6.64;2/3/1976,2.66,6.64
02/04/1976;2.56;6.26;2/4/1976,2.56,6.26
02/05/1976;2.40;5.88;2/5/1976,2.40,5.88
02/06/1976;2.28;5.95;2/6/1976,2.28,5.95
02/07/1976;2.48;7.20;2/7/1976,2.48,7.20
02/08/1976;0.18;6.02;2/8/1976,0.18,6.02
02/09/1976;2.14;5.67;2/9/1976,2.14,5.67
02/10/1976;2.67;17.66;2/10/1976,2.67,17.66
02/11/1976;9.78;54.82;2/11/1976,9.78,54.82
02/12/1976;6.28;18.91;2/12/1976,6.28,18.91
2/13/1976;4.04;12.29;2/13/1976,4.04,12.29
2/14/1976;4.79;10.66;2/14/1976,4.79,10.66
2/15/1976;3.40;9.24;2/15/1976,3.40,9.24
2/16/1976;4.42;9.01;2/16/1976,4.42,9.01
2/17/1976;4.63;8.21;2/17/1976,4.63,8.21
2/18/1976;3.38;7.52;2/18/1976,3.38,7.52
2/19/1976;3.00;7.01;2/19/1976,3.00,7.01
2/20/1976;2.64;6.53;2/20/1976,2.64,6.53
2/21/1976;2.51;6.17;2/21/1976,2.51,6.17
2/22/1976;2.43;6.77;2/22/1976,2.43,6.77
2/23/1976;2.79;7.08;2/23/1976,2.79,7.08
2/24/1976;2.51;6.40;2/24/1976,2.51,6.40
2/25/1976;2.13;5.76;2/25/1976,2.13,5.76
2/26/1976;2.12;5.64;2/26/1976,2.12,5.64
2/27/1976;2.03;5.36;2/27/1976,2.03,5.36
2/28/1976;2.36;6.55;2/28/1976,2.36,6.55
2/29/1976;2.17;5.71;2/29/1976,2.17,5.71
03/01/1976;1.93;5.22;3/1/1976,1.93,5.22
03/02/1976;1.84;4.98;3/2/1976,1.84,4.98
03/03/1976;1.72;4.80;3/3/1976,1.72,4.80
03/04/1976;1.72;4.61;3/4/1976,1.72,4.61
03/05/1976;1.60;4.44;3/5/1976,1.60,4.44
03/06/1976;1.68;4.58;3/6/1976,1.68,4.58
03/07/1976;1.56;4.33;3/7/1976,1.56,4.33
03/08/1976;1.46;4.15;3/8/1976,1.46,4.15
03/09/1976;1.57;4.06;3/9/1976,1.57,4.06
03/10/1976;1.44;3.96;3/10/1976,1.44,3.96
03/11/1976;1.38;3.85;3/11/1976,1.38,3.85
03/12/1976;1.40;4.02;3/12/1976,1.40,4.02
3/13/1976;1.38;3.93;3/13/1976,1.38,3.93
3/14/1976;1.35;3.82;3/14/1976,1.35,3.82
3/15/1976;1.94;5.26;3/15/1976,1.94,5.26
3/16/1976;1.83;5.03;3/16/1976,1.83,5.03
3/17/1976;2.08;5.58;3/17/1976,2.08,5.58
3/18/1976;1.84;5.04;3/18/1976,1.84,5.04
3/19/1976;1.99;5.39;3/19/1976,1.99,5.39
3/20/1976;2.14;5.73;3/20/1976,2.14,5.73
3/21/1976;2.28;6.08;3/21/1976,2.28,6.08
3/22/1976;2.46;6.42;3/22/1976,2.46,6.42
3/23/1976;2.63;6.78;3/23/1976,2.63,6.78
3/24/1976;2.21;5.51;3/24/1976,2.21,5.51
3/25/1976;1.67;4.71;3/25/1976,1.67,4.71
3/26/1976;1.46;4.33;3/26/1976,1.46,4.33
3/27/1976;1.38;4.21;3/27/1976,1.38,4.21
3/28/1976;1.38;4.10;3/28/1976,1.38,4.10
3/29/1976;1.30;3.98;3/29/1976,1.30,3.98
3/30/1976;1.26;3.87;3/30/1976,1.26,3.87
3/31/1976;1.26;3.75;3/31/1976,1.26,3.75
04/01/1976;1.26;3.64;4/1/1976,1.26,3.64
04/02/1976;1.21;3.52;4/2/1976,1.21,3.52
04/03/1976;1.17;3.41;4/3/1976,1.17,3.41
04/04/1976;1.13;3.32;4/4/1976,1.13,3.32
04/05/1976;1.09;3.20;4/5/1976,1.09,3.20
04/06/1976;1.06;3.14;4/6/1976,1.06,3.14
04/07/1976;1.03;3.07;4/7/1976,1.03,3.07
04/08/1976;1.06;3.10;4/8/1976,1.06,3.10
04/09/1976;1.33;3.79;4/9/1976,1.33,3.79
04/10/1976;2.02;5.54;4/10/1976,2.02,5.54
04/11/1976;1.55;4.06;4/11/1976,1.55,4.06
04/12/1976;1.17;3.43;4/12/1976,1.17,3.43
4/13/1976;1.11;3.26;4/13/1976,1.11,3.26
4/14/1976;1.05;3.10;4/14/1976,1.05,3.10
4/15/1976;1.16;3.40;4/15/1976,1.16,3.40
4/16/1976;1.23;3.61;4/16/1976,1.23,3.61
4/17/1976;1.06;3.17;4/17/1976,1.06,3.17
4/18/1976;1.04;3.12;4/18/1976,1.04,3.12
4/19/1976;6.65;14.98;4/19/1976,6.65,14.98
4/20/1976;4.41;10.56;4/20/1976,4.41,10.56
4/21/1976;2.14;5.67;4/21/1976,2.14,5.67
4/22/1976;1.70;4.74;4/22/1976,1.70,4.74
4/23/1976;1.59;4.24;4/23/1976,1.59,4.24
4/24/1976;1.67;4.67;4/24/1976,1.67,4.67
4/25/1976;1.95;5.24;4/25/1976,1.95,5.24
4/26/1976;1.70;4.67;4/26/1976,1.70,4.67
4/27/1976;1.70;5.24;4/27/1976,1.70,5.24
4/28/1976;1.95;6.74;4/28/1976,1.95,6.74
4/29/1976;2.60;13.15;4/29/1976,2.60,13.15
4/30/1976;5.59;6.74;4/30/1976,5.59,6.74
05/01/1976;3.16;8.93;5/1/1976,3.16,8.93
05/02/1976;6.92;20.16;5/2/1976,6.92,20.16
05/03/1976;8.99;22.46;5/3/1976,8.99,22.46
05/04/1976;9.36;20.06;5/4/1976,9.36,20.06
05/05/1976;6.82;14.78;5/5/1976,6.82,14.78
05/06/1976;4.60;9.98;5/6/1976,4.60,9.98
05/07/1976;3.74;8.92;5/7/1976,3.74,8.92
05/08/1976;3.45;8.60;5/8/1976,3.45,8.60
05/09/1976;4.48;14.30;5/9/1976,4.48,14.30
05/10/1976;7.37;12.58;5/10/1976,7.37,12.58
05/11/1976;5.06;11.23;5/11/1976,5.06,11.23
05/12/1976;12.75;19.58;5/12/1976,12.75,19.58
5/13/1976;8.27;14.11;5/13/1976,8.27,14.11
5/14/1976;6.24;11.42;5/14/1976,6.24,11.42
5/15/1976;5.15;9.89;5/15/1976,5.15,9.89
5/16/1976;4.35;8.77;5/16/1976,4.35,8.77
5/17/1976;5.29;10.08;5/17/1976,5.29,10.08
5/18/1976;8.27;14.11;5/18/1976,8.27,14.11
5/19/1976;5.43;10.27;5/19/1976,5.43,10.27
5/20/1976;4.11;8.88;5/20/1976,4.11,8.88
5/21/1976;4.38;16.13;5/21/1976,4.38,16.13
5/22/1976;5.78;10.85;5/22/1976,5.78,10.85
5/23/1976;4.75;11.14;5/23/1976,4.75,11.14
5/24/1976;5.78;11.52;5/24/1976,5.78,11.52
5/25/1976;3.96;8.09;5/25/1976,3.96,8.09
5/26/1976;3.97;8.10;5/26/1976,3.97,8.10
5/27/1976;5.59;10.46;5/27/1976,5.59,10.46
5/28/1976;7.20;12.86;5/28/1976,7.20,12.86
5/29/1976;12.11;18.62;5/29/1976,12.11,18.62
5/30/1976;6.52;11.90;5/30/1976,6.52,11.90
5/31/1976;5.81;10.94;5/31/1976,5.81,10.94
06/01/1976;4.60;9.04;6/1/1976,4.60,9.04
06/02/1976;3.80;7.87;6/2/1976,3.80,7.87
06/03/1976;8.44;14.50;6/3/1976,8.44,14.50
06/04/1976;6.43;11.71;6/4/1976,6.43,11.71
06/05/1976;6.74;13.82;6/5/1976,6.74,13.82
06/06/1976;5.62;12.38;6/6/1976,5.62,12.38
06/07/1976;6.46;13.92;6/7/1976,6.46,13.92
06/08/1976;6.14;12.19;6/8/1976,6.14,12.19
06/09/1976;4.82;12.38;6/9/1976,4.82,12.38
06/10/1976;4.35;11.33;6/10/1976,4.35,11.33
06/11/1976;4.19;10.66;6/11/1976,4.19,10.66
06/12/1976;3.70;9.98;6/12/1976,3.70,9.98
6/13/1976;4.48;9.79;6/13/1976,4.48,9.79
6/14/1976;5.53;9.28;6/14/1976,5.53,9.28
6/15/1976;4.06;38.98;6/15/1976,4.06,38.98
6/16/1976;7.26;45.22;6/16/1976,7.26,45.22
6/17/1976;7.83;21.02;6/17/1976,7.83,21.02
6/18/1976;4.90;15.46;6/18/1976,4.90,15.46
6/19/1976;4.20;13.92;6/19/1976,4.20,13.92
6/20/1976;6.63;12.67;6/20/1976,6.63,12.67
6/21/1976;5.13;11.42;6/21/1976,5.13,11.42
6/22/1976;4.67;9.18;6/22/1976,4.67,9.18
6/23/1976;3.88;7.97;6/23/1976,3.88,7.97
6/24/1976;3.84;7.92;6/24/1976,3.84,7.92
6/25/1976;6.10;11.23;6/25/1976,6.10,11.23
6/26/1976;11.18;17.28;6/26/1976,11.18,17.28
6/27/1976;7.20;13.15;6/27/1976,7.20,13.15
6/28/1976;5.06;11.52;6/28/1976,5.06,11.52
6/29/1976;4.54;13.54;6/29/1976,4.54,13.54
6/30/1976;6.10;12.10;6/30/1976,6.10,12.10
07/01/1976;4.53;10.75;7/1/1976,4.53,10.75
07/02/1976;3.96;10.08;7/2/1976,3.96,10.08
07/03/1976;4.29;9.79;7/3/1976,4.29,9.79
07/04/1976;8.75;14.78;7/4/1976,8.75,14.78
07/05/1976;11.95;18.72;7/5/1976,11.95,18.72
07/06/1976;6.56;12.00;7/6/1976,6.56,12.00
07/07/1976;4.82;9.41;7/7/1976,4.82,9.41
07/08/1976;4.79;9.39;7/8/1976,4.79,9.39
07/09/1976;4.11;8.39;7/9/1976,4.11,8.39
07/10/1976;4.01;12.86;7/10/1976,4.01,12.86
07/11/1976;7.62;16.80;7/11/1976,7.62,16.80
07/12/1976;5.94;12.19;7/12/1976,5.94,12.19
7/13/1976;4.44;11.04;7/13/1976,4.44,11.04
7/14/1976;3.73;62.02;7/14/1976,3.73,62.02
7/15/1976;3.47;61.54;7/15/1976,3.47,61.54
7/16/1976;7.93;31.78;7/16/1976,7.93,31.78
7/17/1976;28.08;21.41;7/17/1976,28.08,21.41
7/18/1976;29.57;37.06;7/18/1976,29.57,37.06
7/19/1976;14.38;21.50;7/19/1976,14.38,21.50
7/20/1976;79.35;78.14;7/20/1976,79.35,78.14
7/21/1976;46.79;52.22;7/21/1976,46.79,52.22
7/22/1976;17.23;24.67;7/22/1976,17.23,24.67
7/23/1976;11.11;17.66;7/23/1976,11.11,17.66
7/24/1976;8.94;15.07;7/24/1976,8.94,15.07
7/25/1976;9.66;15.84;7/25/1976,9.66,15.84
7/26/1976;14.65;21.89;7/26/1976,14.65,21.89
7/27/1976;14.38;21.50;7/27/1976,14.38,21.50
7/28/1976;9.44;15.55;7/28/1976,9.44,15.55
7/29/1976;14.38;36.58;7/29/1976,14.38,36.58
7/30/1976;45.84;185.28;7/30/1976,45.84,185.28
7/31/1976;61.04;73.82;7/31/1976,61.04,73.82
08/01/1976;138.35;159.36;8/1/1976,138.35,159.36
08/02/1976;30.92;39.55;8/2/1976,30.92,39.55
08/03/1976;15.19;25.44;8/3/1976,15.19,25.44
08/04/1976;11.34;17.95;8/4/1976,11.34,17.95
08/05/1976;8.59;13.44;8/5/1976,8.59,13.44
08/06/1976;8.44;12.38;8/6/1976,8.44,12.38
08/07/1976;7.55;11.52;8/7/1976,7.55,11.52
08/08/1976;7.55;10.85;8/8/1976,7.55,10.85
08/09/1976;5.95;9.60;8/9/1976,5.95,9.60
08/10/1976;5.62;44.93;8/10/1976,5.62,44.93
08/11/1976;5.86;13.92;8/11/1976,5.86,13.92
08/12/1976;4.98;11.81;8/12/1976,4.98,11.81
8/13/1976;4.65;18.91;8/13/1976,4.65,18.91
8/14/1976;4.53;11.23;8/14/1976,4.53,11.23
8/15/1976;4.04;10.18;8/15/1976,4.04,10.18
8/16/1976;3.80;9.45;8/16/1976,3.80,9.45
8/17/1976;3.58;9.02;8/17/1976,3.58,9.02
8/18/1976;3.43;8.22;8/18/1976,3.43,8.22
8/19/1976;3.13;7.71;8/19/1976,3.13,7.71
8/20/1976;2.93;7.22;8/20/1976,2.93,7.22
8/21/1976;3.05;7.24;8/21/1976,3.05,7.24
8/22/1976;4.68;7.53;8/22/1976,4.68,7.53
8/23/1976;3.57;12.38;8/23/1976,3.57,12.38
8/24/1976;5.91;9.60;8/24/1976,5.91,9.60
8/25/1976;5.41;10.27;8/25/1976,5.41,10.27
8/26/1976;5.82;10.56;8/26/1976,5.82,10.56
8/27/1976;6.10;10.85;8/27/1976,6.10,10.85
8/28/1976;4.22;9.00;8/28/1976,4.22,9.00
8/29/1976;10.20;31.10;8/29/1976,10.20,31.10
8/30/1976;8.42;13.15;8/30/1976,8.42,13.15
8/31/1976;4.98;11.14;8/31/1976,4.98,11.14
09/01/1976;4.31;17.95;9/1/1976,4.31,17.95
09/02/1976;4.48;14.11;9/2/1976,4.48,14.11
09/03/1976;4.96;12.29;9/3/1976,4.96,12.29
09/04/1976;5.75;12.48;9/4/1976,5.75,12.48
09/05/1976;5.18;13.63;9/5/1976,5.18,13.63
09/06/1976;4.69;12.29;9/6/1976,4.69,12.29
09/07/1976;3.69;11.42;9/7/1976,3.69,11.42
09/08/1976;53.85;127.68;9/8/1976,53.85,127.68
09/09/1976;46.66;55.78;9/9/1976,46.66,55.78
09/10/1976;11.52;26.21;9/10/1976,11.52,26.21
09/11/1976;9.39;22.46;9/11/1976,9.39,22.46
09/12/1976;7.01;14.02;9/12/1976,7.01,14.02
9/13/1976;5.82;12.29;9/13/1976,5.82,12.29
9/14/1976;8.67;13.44;9/14/1976,8.67,13.44
9/15/1976;16.82;21.22;9/15/1976,16.82,21.22
9/16/1976;23.46;19.87;9/16/1976,23.46,19.87
9/17/1976;11.04;14.21;9/17/1976,11.04,14.21
9/18/1976;7.77;12.00;9/18/1976,7.77,12.00
9/19/1976;9.29;11.33;9/19/1976,9.29,11.33
9/20/1976;4.27;10.18;9/20/1976,4.27,10.18
9/21/1976;6.31;9.15;9/21/1976,6.31,9.15
9/22/1976;5.94;8.76;9/22/1976,5.94,8.76
9/23/1976;7.49;8.20;9/23/1976,7.49,8.20
9/24/1976;8.21;7.97;9/24/1976,8.21,7.97
9/25/1976;6.29;7.81;9/25/1976,6.29,7.81
9/26/1976;5.21;7.48;9/26/1976,5.21,7.48
9/27/1976;4.60;7.54;9/27/1976,4.60,7.54
9/28/1976;5.03;7.14;9/28/1976,5.03,7.14
9/29/1976;6.00;7.60;9/29/1976,6.00,7.60
9/30/1976;4.80;7.60;9/30/1976,4.80,7.60
10/01/1976;4.84;7.65;10/1/1976,4.84,7.65
10/02/1976;6.35;8.35;10/2/1976,6.35,8.35
10/03/1976;5.66;10.85;10/3/1976,5.66,10.85
10/04/1976;5.11;8.42;10/4/1976,5.11,8.42
10/05/1976;7.57;10.94;10/5/1976,7.57,10.94
10/06/1976;5.62;10.27;10/6/1976,5.62,10.27
10/07/1976;4.44;8.95;10/7/1976,4.44,8.95
10/08/1976;4.04;8.22;10/8/1976,4.04,8.22
10/09/1976;4.18;8.23;10/9/1976,4.18,8.23
10/10/1976;4.03;9.34;10/10/1976,4.03,9.34
10/11/1976;3.70;8.22;10/11/1976,3.70,8.22
10/12/1976;4.72;12.58;10/12/1976,4.72,12.58
10/13/1976;4.67;9.52;10/13/1976,4.67,9.52
10/14/1976;8.44;10.94;10/14/1976,8.44,10.94
10/15/1976;7.28;11.42;10/15/1976,7.28,11.42
10/16/1976;4.77;13.25;10/16/1976,4.77,13.25
10/17/1976;4.20;9.60;10/17/1976,4.20,9.60
10/18/1976;3.88;10.85;10/18/1976,3.88,10.85
10/19/1976;3.26;10.66;10/19/1976,3.26,10.66
10/20/1976;3.57;10.08;10/20/1976,3.57,10.08
10/21/1976;4.25;9.48;10/21/1976,4.25,9.48
10/22/1976;3.59;9.55;10/22/1976,3.59,9.55
10/23/1976;3.49;8.95;10/23/1976,3.49,8.95
10/24/1976;2.89;8.31;10/24/1976,2.89,8.31
10/25/1976;3.74;7.71;10/25/1976,3.74,7.71
10/26/1976;4.04;8.24;10/26/1976,4.04,8.24
10/27/1976;3.82;7.90;10/27/1976,3.82,7.90
10/28/1976;3.54;7.38;10/28/1976,3.54,7.38
10/29/1976;3.39;7.16;10/29/1976,3.39,7.16
10/30/1976;3.30;6.98;10/30/1976,3.30,6.98
10/31/1976;3.17;6.84;10/31/1976,3.17,6.84
11/01/1976;3.57;7.44;11/1/1976,3.57,7.44
11/02/1976;5.43;10.27;11/2/1976,5.43,10.27
11/03/1976;3.76;7.74;11/3/1976,3.76,7.74
11/04/1976;16.82;24.38;11/4/1976,16.82,24.38
11/05/1976;97.66;91.49;11/5/1976,97.66,91.49
11/06/1976;45.03;50.88;11/6/1976,45.03,50.88
11/07/1976;29.43;36.86;11/7/1976,29.43,36.86
11/08/1976;97.52;91.20;11/8/1976,97.52,91.20
11/09/1976;24.14;31.97;11/9/1976,24.14,31.97
11/10/1976;11.60;18.24;11/10/1976,11.60,18.24
11/11/1976;8.18;14.02;11/11/1976,8.18,14.02
11/12/1976;6.33;11.52;11/12/1976,6.33,11.52
11/13/1976;5.19;9.89;11/13/1976,5.19,9.89
11/14/1976;4.34;8.67;11/14/1976,4.34,8.67
11/15/1976;5.37;10.18;11/15/1976,5.37,10.18
11/16/1976;4.61;8.37;11/16/1976,4.61,8.37
11/17/1976;3.59;7.50;11/17/1976,3.59,7.50
11/18/1976;3.26;6.93;11/18/1976,3.26,6.93
11/19/1976;2.96;6.47;11/19/1976,2.96,6.47
11/20/1976;3.27;6.94;11/20/1976,3.27,6.94
11/21/1976;2.90;6.40;11/21/1976,2.90,6.40
11/22/1976;3.31;7.04;11/22/1976,3.31,7.04
11/23/1976;4.46;6.91;11/23/1976,4.46,6.91
11/24/1976;5.81;13.15;11/24/1976,5.81,13.15
11/25/1976;18.31;22.94;11/25/1976,18.31,22.94
11/26/1976;10.65;10.37;11/26/1976,10.65,10.37
11/27/1976;5.02;8.70;11/27/1976,5.02,8.70
11/28/1976;4.08;7.84;11/28/1976,4.08,7.84
11/29/1976;3.64;7.39;11/29/1976,3.64,7.39
11/30/1976;3.57;6.55;11/30/1976,3.57,6.55
12/01/1976;3.15;5.90;12/1/1976,3.15,5.90
12/02/1976;2.89;5.71;12/2/1976,2.89,5.71
12/03/1976;3.11;5.82;12/3/1976,3.11,5.82
12/04/1976;2.56;5.79;12/4/1976,2.56,5.79
12/05/1976;2.56;5.80;12/5/1976,2.56,5.80
12/06/1976;2.55;5.81;12/6/1976,2.55,5.81
12/07/1976;2.55;5.82;12/7/1976,2.55,5.82
12/08/1976;2.54;5.83;12/8/1976,2.54,5.83
12/09/1976;2.58;5.84;12/9/1976,2.58,5.84
12/10/1976;96.17;91.58;12/10/1976,96.17,91.58
12/11/1976;39.06;36.67;12/11/1976,39.06,36.67
12/12/1976;67.68;52.99;12/12/1976,67.68,52.99
12/13/1976;71.07;54.43;12/13/1976,71.07,54.43
12/14/1976;35.54;34.27;12/14/1976,35.54,34.27
12/15/1976;14.24;21.31;12/15/1976,14.24,21.31
12/16/1976;13.12;20.06;12/16/1976,13.12,20.06
12/17/1976;33.91;33.41;12/17/1976,33.91,33.41
12/18/1976;13.83;20.54;12/18/1976,13.83,20.54
12/19/1976;9.45;15.65;12/19/1976,9.45,15.65
12/20/1976;7.77;13.54;12/20/1976,7.77,13.54
12/21/1976;6.90;12.29;12/21/1976,6.90,12.29
12/22/1976;6.36;11.71;12/22/1976,6.36,11.71
12/23/1976;4.77;9.79;12/23/1976,4.77,9.79
12/24/1976;4.15;8.42;12/24/1976,4.15,8.42
12/25/1976;3.78;7.42;12/25/1976,3.78,7.42
12/26/1976;3.95;7.41;12/26/1976,3.95,7.41
12/27/1976;3.88;11.04;12/27/1976,3.88,11.04
12/28/1976;3.61;7.54;12/28/1976,3.61,7.54
12/29/1976;3.23;6.92;12/29/1976,3.23,6.92
12/30/1976;3.02;6.56;12/30/1976,3.02,6.56
12/31/1976;2.82;6.30;12/31/1976,2.82,6.30
01/01/1977;3.09;6.07;1/1/1977,3.09,6.07
01/02/1977;3.01;5.85;1/2/1977,3.01,5.85
01/03/1977;2.86;5.62;1/3/1977,2.86,5.62
01/04/1977;2.82;5.39;1/4/1977,2.82,5.39
01/05/1977;2.79;5.16;1/5/1977,2.79,5.16
01/06/1977;2.71;4.93;1/6/1977,2.71,4.93
01/07/1977;2.52;4.70;1/7/1977,2.52,4.70
01/08/1977;2.41;4.71;1/8/1977,2.41,4.71
01/09/1977;2.32;4.72;1/9/1977,2.32,4.72
01/10/1977;2.28;4.72;1/10/1977,2.28,4.72
01/11/1977;2.16;4.73;1/11/1977,2.16,4.73
01/12/1977;2.24;4.74;1/12/1977,2.24,4.74
1/13/1977;1.84;4.55;1/13/1977,1.84,4.55
1/14/1977;1.94;4.69;1/14/1977,1.94,4.69
1/15/1977;2.08;4.95;1/15/1977,2.08,4.95
1/16/1977;2.02;4.81;1/16/1977,2.02,4.81
1/17/1977;2.73;6.12;1/17/1977,2.73,6.12
1/18/1977;2.82;6.22;1/18/1977,2.82,6.22
1/19/1977;10.31;16.70;1/19/1977,10.31,16.70
1/20/1977;23.46;25.34;1/20/1977,23.46,25.34
1/21/1977;18.45;25.73;1/21/1977,18.45,25.73
1/22/1977;17.23;24.67;1/22/1977,17.23,24.67
1/23/1977;42.05;38.50;1/23/1977,42.05,38.50
1/24/1977;18.85;26.40;1/24/1977,18.85,26.40
1/25/1977;9.64;15.84;1/25/1977,9.64,15.84
1/26/1977;6.69;12.10;1/26/1977,6.69,12.10
1/27/1977;5.66;10.56;1/27/1977,5.66,10.56
1/28/1977;4.87;9.43;1/28/1977,4.87,9.43
1/29/1977;4.14;8.37;1/29/1977,4.14,8.37
1/30/1977;3.66;7.66;1/30/1977,3.66,7.66
1/31/1977;3.42;7.17;1/31/1977,3.42,7.17
02/01/1977;3.26;7.00;2/1/1977,3.26,7.00
02/02/1977;2.98;6.64;2/2/1977,2.98,6.64
02/03/1977;2.82;6.31;2/3/1977,2.82,6.31
02/04/1977;1.78;6.58;2/4/1977,1.78,6.58
02/05/1977;1.79;5.50;2/5/1977,1.79,5.50
02/06/1977;1.82;5.38;2/6/1977,1.82,5.38
02/07/1977;1.83;5.97;2/7/1977,1.83,5.97
02/08/1977;1.82;5.43;2/8/1977,1.82,5.43
02/09/1977;1.79;5.22;2/9/1977,1.79,5.22
02/10/1977;1.78;4.96;2/10/1977,1.78,4.96
02/11/1977;1.76;4.69;2/11/1977,1.76,4.69
02/12/1977;1.75;4.78;2/12/1977,1.75,4.78
2/13/1977;1.74;4.49;2/13/1977,1.74,4.49
2/14/1977;1.72;4.33;2/14/1977,1.72,4.33
2/15/1977;1.67;4.22;2/15/1977,1.67,4.22
2/16/1977;1.65;4.28;2/16/1977,1.65,4.28
2/17/1977;1.65;4.17;2/17/1977,1.65,4.17
2/18/1977;1.64;3.92;2/18/1977,1.64,3.92
2/19/1977;1.63;4.14;2/19/1977,1.63,4.14
2/20/1977;1.57;3.79;2/20/1977,1.57,3.79
2/21/1977;1.51;3.84;2/21/1977,1.51,3.84
2/22/1977;1.48;4.00;2/22/1977,1.48,4.00
2/23/1977;1.46;3.62;2/23/1977,1.46,3.62
2/24/1977;1.44;3.48;2/24/1977,1.44,3.48
2/25/1977;2.06;5.93;2/25/1977,2.06,5.93
2/26/1977;2.48;5.38;2/26/1977,2.48,5.38
2/27/1977;1.83;4.16;2/27/1977,1.83,4.16
2/28/1977;2.67;9.43;2/28/1977,2.67,9.43
03/01/1977;4.19;9.18;3/1/1977,4.19,9.18
03/02/1977;5.60;25.63;3/2/1977,5.60,25.63
03/03/1977;4.80;12.38;3/3/1977,4.80,12.38
03/04/1977;3.26;8.85;3/4/1977,3.26,8.85
03/05/1977;4.12;8.44;3/5/1977,4.12,8.44
03/06/1977;4.37;8.79;3/6/1977,4.37,8.79
03/07/1977;8.92;14.98;3/7/1977,8.92,14.98
03/08/1977;26.04;27.55;3/8/1977,26.04,27.55
03/09/1977;9.77;19.58;3/9/1977,9.77,19.58
03/10/1977;5.97;11.04;3/10/1977,5.97,11.04
03/11/1977;4.26;8.57;3/11/1977,4.26,8.57
03/12/1977;3.72;7.69;3/12/1977,3.72,7.69
3/13/1977;2.96;7.48;3/13/1977,2.96,7.48
3/14/1977;2.96;6.71;3/14/1977,2.96,6.71
3/15/1977;3.31;8.42;3/15/1977,3.31,8.42
3/16/1977;3.13;6.61;3/16/1977,3.13,6.61
3/17/1977;2.70;5.89;3/17/1977,2.70,5.89
3/18/1977;2.48;5.39;3/18/1977,2.48,5.39
3/19/1977;2.39;4.92;3/19/1977,2.39,4.92
3/20/1977;2.28;5.01;3/20/1977,2.28,5.01
3/21/1977;2.03;5.16;3/21/1977,2.03,5.16
3/22/1977;1.84;6.53;3/22/1977,1.84,6.53
3/23/1977;1.83;7.14;3/23/1977,1.83,7.14
3/24/1977;1.83;5.65;3/24/1977,1.83,5.65
3/25/1977;1.67;5.30;3/25/1977,1.67,5.30
3/26/1977;1.65;4.82;3/26/1977,1.65,4.82
3/27/1977;1.59;4.44;3/27/1977,1.59,4.44
3/28/1977;1.53;4.18;3/28/1977,1.53,4.18
3/29/1977;1.70;4.20;3/29/1977,1.70,4.20
3/30/1977;9.79;11.62;3/30/1977,9.79,11.62
3/31/1977;10.55;11.62;3/31/1977,10.55,11.62
04/01/1977;7.53;8.85;4/1/1977,7.53,8.85
04/02/1977;4.44;7.14;4/2/1977,4.44,7.14
04/03/1977;3.28;6.22;4/3/1977,3.28,6.22
04/04/1977;2.75;5.65;4/4/1977,2.75,5.65
04/05/1977;2.46;5.23;4/5/1977,2.46,5.23
04/06/1977;1.78;5.46;4/6/1977,1.78,5.46
04/07/1977;2.16;5.22;4/7/1977,2.16,5.22
04/08/1977;1.99;4.84;4/8/1977,1.99,4.84
04/09/1977;1.94;6.26;4/9/1977,1.94,6.26
04/10/1977;1.89;5.16;4/10/1977,1.89,5.16
04/11/1977;1.89;4.60;4/11/1977,1.89,4.60
04/12/1977;2.28;4.69;4/12/1977,2.28,4.69
4/13/1977;2.28;5.46;4/13/1977,2.28,5.46
